Position,Symbol,2^(-Avg.(Delta(Ct)),,,,
,,Control Group,Group 1,Group 2,Group 3,Group 4
A01,APCS,1.000000,0.020790,1.000000,1.000000,0.005205
A02,C3,1.000000,0.020790,1.000000,1.000000,0.005205
A03,CASP1,1.000000,0.020790,1.000000,1.000000,0.005205
A04,CCL2,1.000000,0.020790,1.000000,1.000000,0.005205
A05,CCL5,1.000000,0.020790,1.000000,1.000000,0.013851
A06,CCR4,1.000000,0.020790,1.000000,1.000000,0.028612
A07,CCR5,1.000000,0.020790,1.000000,1.000000,0.043346
A08,CCR6,1.000000,0.020790,1.000000,1.000000,0.005205
A09,CCR8,1.000000,0.020790,1.000000,1.000000,0.005205
A10,CD14,1.000000,0.020790,1.000000,1.000000,0.020102
A11,CD4,1.000000,0.023707,1.000000,1.000000,0.053460
A12,CD40,1.000000,0.020790,1.000000,1.000000,0.011189
B01,CD40LG,1.000000,0.020790,1.000000,1.000000,0.030744
B02,CD80,1.000000,0.020790,1.000000,1.000000,0.010864
B03,CD86,1.000000,0.020790,1.000000,1.000000,0.005205
B04,CD8A,1.000000,0.020790,1.000000,1.000000,0.055729
B05,CRP,1.000000,0.020790,1.000000,1.000000,0.005205
B06,CSF2,1.000000,0.020790,1.000000,1.000000,0.011359
B07,CXCL10,1.000000,0.020790,1.000000,1.000000,0.006130
B08,CXCR3,1.000000,0.053415,1.084484,1.457893,0.047840
B09,DDX58,1.000000,0.020790,1.000000,1.000000,0.005205
B10,FASLG,1.000000,0.032524,1.000000,1.000000,0.041836
B11,FOXP3,1.000000,0.157926,1.000000,1.112772,0.161920
B12,GATA3,1.000000,0.020790,1.000000,1.000000,0.021628
C01,HLA-A,1.000000,0.020790,1.000000,1.000000,0.015482
C02,HLA-E,1.000000,0.020790,1.000000,1.000000,0.005205
C03,ICAM1,1.000000,0.020790,1.000000,1.000000,0.022850
C04,IFNA1,1.000000,0.020790,1.000000,1.000000,0.005205
C05,IFNAR1,1.000000,0.020790,1.000000,1.000000,0.005205
C06,IFNB1,1.589485,0.020790,1.000000,1.000000,0.005205
C07,IFNG,1.000000,0.020790,1.000000,1.000000,0.005205
C08,IFNGR1,1.000000,0.816841,9.449319,1.000000,0.642864
C09,IL10,1.000000,0.020790,1.000000,1.000000,0.016872
C10,IL13,1.000000,0.119759,1.000000,1.000000,0.140227
C11,IL17A,1.000000,0.020790,1.000000,1.000000,0.005205
C12,IL18,1.000000,0.020790,1.000000,1.000000,0.005205
D01,IL1A,1.000000,0.020790,1.000000,1.000000,0.043154
D02,IL1B,1.000000,0.020790,1.000000,1.000000,0.005205
D03,IL1R1,1.000000,0.020790,1.000000,1.000000,0.005205
D04,IL2,1.000000,0.020790,1.000000,1.000000,0.005205
D05,IL23A,1.000000,0.020790,1.000000,1.000000,0.005205
D06,IL4,1.508796,0.020790,1.000000,1.000000,0.006410
D07,IL5,1.000000,0.020790,1.000000,1.000000,0.010065
D08,IL6,1.000000,0.020790,1.000000,1.000000,0.011712
D09,CXCL8,1.000000,0.075232,1.000000,1.000000,0.082021
D10,IRAK1,1.000000,0.034982,1.000000,1.000000,0.043883
D11,IRF3,1.000000,0.020790,1.000000,1.000000,0.007924
D12,IRF7,1.000000,0.781527,1.000000,1.000000,0.010157
E01,ITGAM,1.000000,0.022635,1.000000,1.000000,0.046777
E02,JAK2,1.000000,0.020790,1.000000,1.000000,0.005205
E03,LY96,1.000000,0.020790,1.000000,1.000000,0.005205
E04,LYZ,1.000000,0.020790,1.000000,1.000000,0.005205
E05,MAPK1,1.000000,0.110830,1.000000,1.000000,0.050693
E06,MAPK8,1.000000,0.581653,1.000000,1.000000,0.418097
E07,MBL2,1.000000,0.020790,1.000000,1.000000,0.005205
E08,MPO,1.000000,0.020790,1.000000,1.000000,0.016939
E09,MX1,1.000000,0.020790,1.000000,1.000000,0.020679
E10,MYD88,2.003108,0.038924,1.000000,1.000000,0.039494
E11,NFKB1,1.000000,0.021808,1.000000,1.000000,0.023323
E12,NFKBIA,1.000000,0.020790,1.000000,1.000000,0.005205
F01,NLRP3,14.409478,0.020790,1.000000,1.000000,0.005205
F02,NOD1,1.000000,0.020790,1.000000,1.000000,0.018998
F03,NOD2,1.000000,0.069622,1.000000,1.000000,0.215923
F04,RAG1,1.000000,0.028216,1.000000,1.000000,0.036860
F05,RORC,1.000000,0.676574,1.000000,1.000000,0.559951
F06,SLC11A1,1.000000,0.300394,1.639080,1.588358,0.372896
F07,STAT1,1.934798,0.020790,1.000000,1.000000,0.005205
F08,STAT3,1.000000,0.063521,1.000000,1.000000,0.044817
F09,STAT4,1.000000,0.020790,1.000000,1.000000,0.008601
F10,STAT6,1.000000,0.021541,1.000000,1.000000,0.013222
F11,TBX21,1.000000,0.020790,1.000000,1.000000,0.016194
F12,TICAM1,1.000000,0.040003,1.000000,1.000000,0.055709
G01,TLR1,1.000000,0.020790,1.000000,1.000000,0.005205
G02,TLR2,1.000000,0.020790,1.000000,1.000000,0.005205
G03,TLR3,1.000000,0.020790,1.000000,1.000000,0.005205
G04,TLR4,1.000000,0.140613,1.000000,1.000000,0.223077
G05,TLR5,1.000000,0.020790,1.000000,1.000000,0.005205
G06,TLR6,1.000000,0.044156,1.000000,1.000000,0.111741
G07,TLR7,1.000000,0.020790,1.000000,1.000000,0.009947
G08,TLR8,1.000000,0.020790,1.000000,1.000000,0.014798
G09,TLR9,1.000000,0.020790,1.000000,1.000000,0.009616
G10,TNF,1.000000,0.020790,1.000000,1.000000,0.005205
G11,TRAF6,1.000000,0.090041,1.000000,1.000000,0.061188
G12,TYK2,1.000000,0.020790,1.000000,1.000000,0.009065
H01,ACTB,1.000000,0.603749,5.424728,1.000000,0.548532
H02,B2M,1.000000,0.020790,1.000000,1.000000,0.005205
H03,GAPDH,1.000000,1.000000,1.000000,1.000000,1.000000
H04,HPRT1,1.000000,0.548765,1.000000,1.000000,0.449271
H05,RPLP0,1.000000,0.020790,1.000000,1.000000,0.005205
