PCR Array Catalog #:,PAHS-052Z,,,,,
,,,,,,
Position,Unigene,Refseq,Symbol,Description,Gname,RT2 Catalog
A01,Hs.507080,NM_001639,APCS,"Amyloid P component, serum",HEL-S-92n/PTX2/SAP,PPH07107A
A02,Hs.529053,NM_000064,C3,Complement component 3,AHUS5/ARMD9/ASP/C3a/C3b/CPAMD1/HEL-S-62p,PPH01185E
A03,Hs.2490,NM_033292,CASP1,"Caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)",ICE/IL1BC/P45,PPH00105C
A04,Hs.303649,NM_002982,CCL2,Chemokine (C-C motif) ligand 2,GDCF-2/HC11/HSMCR30/MCAF/MCP-1/MCP1/SCYA2/SMC-CF,PPH00192F
A05,Hs.514821,NM_002985,CCL5,Chemokine (C-C motif) ligand 5,D17S136E/RANTES/SCYA5/SIS-delta/SISd/TCP228/eoCP,PPH00703B
A06,Hs.184926,NM_005508,CCR4,Chemokine (C-C motif) receptor 4,CC-CKR-4/CD194/CKR4/CMKBR4/ChemR13/HGCN:14099/K5-5,PPH00614A
A07,Hs.450802,NM_000579,CCR5,Chemokine (C-C motif) receptor 5,CC-CKR-5/CCCKR5/CCR-5/CD195/CKR-5/CKR5/CMKBR5/IDDM22,PPH00615F
A08,Hs.46468,NM_004367,CCR6,Chemokine (C-C motif) receptor 6,BN-1/C-C CKR-6/CC-CKR-6/CCR-6/CD196/CKR-L3/CKRL3/CMKBR6/DCR2/DRY6/GPR29/GPRCY4/STRL22,PPH00616F
A09,Hs.113222,NM_005201,CCR8,Chemokine (C-C motif) receptor 8,CC-CKR-8/CCR-8/CDw198/CKRL1/CMKBR8/CMKBRL2/CY6/GPRCY6/TER1,PPH00618F
A10,Hs.163867,NM_000591,CD14,CD14 molecule,-,PPH05723A
A11,Hs.631659,NM_000616,CD4,CD4 molecule,CD4mut,PPH01629C
A12,Hs.472860,NM_001250,CD40,"CD40 molecule, TNF receptor superfamily member 5",Bp50/CDW40/TNFRSF5/p50,PPH00296D
B01,Hs.592244,NM_000074,CD40LG,CD40 ligand,CD154/CD40L/HIGM1/IGM/IMD3/T-BAM/TNFSF5/TRAP/gp39/hCD40L,PPH00259C
B02,Hs.838,NM_005191,CD80,CD80 molecule,B7/B7-1/B7.1/BB1/CD28LG/CD28LG1/LAB7,PPH00860F
B03,Hs.171182,NM_006889,CD86,CD86 molecule,B7-2/B7.2/B70/CD28LG2/LAB72,PPH00826A
B04,Hs.85258,NM_001768,CD8A,CD8a molecule,CD8/Leu2/MAL/p32,PPH01632A
B05,Hs.709456,NM_000567,CRP,"C-reactive protein, pentraxin-related",PTX1,PPH02632A
B06,Hs.1349,NM_000758,CSF2,Colony stimulating factor 2 (granulocyte-macrophage),GMCSF,PPH00576C
B07,Hs.632586,NM_001565,CXCL10,Chemokine (C-X-C motif) ligand 10,C7/IFI10/INP10/IP-10/SCYB10/crg-2/gIP-10/mob-1,PPH00765E
B08,Hs.198252,NM_001504,CXCR3,Chemokine (C-X-C motif) receptor 3,CD182/CD183/CKR-L2/CMKAR3/GPR9/IP10-R/Mig-R/MigR,PPH01041A
